id,name,address,phone,emergency_phone,latitude,longitude,district,emergency_level,hospital_type,beds_total,has_ct,has_mri
ER014,의료법인정화의료재단 봉생기념병원,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",051-664-4000,051-664-0119,35.1308736761734,129.050556556591,동구,지역응급의료기관,종합병원,389,True,False
ER015,좋은문화병원,부산광역시 동구 범일로 119 (범일동),051-644-2002,051-644-0119,35.1407897063666,129.059048618496,동구,지역응급의료기관,종합병원,299,True,False
ER016,비에이치에스한서병원,부산광역시 수영구 수영로 615 (광안동),051-756-0081,051-756-0119,35.1610469496207,129.112881923838,수영구,지역응급의료기관,종합병원,299,True,False
ER017,학교법인)동의병원,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",051-867-5101,051-867-0119,35.1710811495491,129.074320995349,부산진구,지역응급의료기관,종합병원,471,True,True
ER018,동래봉생병원,부산광역시 동래구 안연로109번길 27 (안락동),051-531-6000,051-531-0119,35.1969275901618,129.096107169399,동래구,지역응급의료기관,종합병원,255,True,False
ER019,한국보훈복지의료공단 부산보훈병원,부산광역시 사상구 백양대로 420 (주례동),051-601-6000,051-601-0119,35.1528918625836,129.008252267356,사상구,지역응급의료기관,종합병원,476,True,True
ER020,의료법인은성의료재단좋은삼선병원,부산광역시 사상구 가야대로 326 (주례동),051-322-0900,051-322-0119,35.1501221994007,129.007692308874,사상구,지역응급의료기관,종합병원,406,True,True
ER021,영도병원,부산광역시 영도구 태종로 85 (대교동2가),051-414-8101,051-414-0119,35.0922419980986,129.040526440438,영도구,지역응급의료기관,종합병원,277,True,False
ER022,의료법인 센텀의료재단 센텀종합병원,부산광역시 수영구 수영로 679번길 8(광안동),051-750-5000,051-750-0119,35.1668299224046,129.114419455494,수영구,지역응급의료기관,종합병원,493,True,True
ER023,의료법인 인당의료재단 부민병원,부산광역시 북구 만덕대로 59 (덕천동),051-330-3000,051-330-0119,35.2119644521641,129.011215981209,북구,지역응급의료기관,종합병원,384,True,False
ER024,의료법인 은성의료재단 좋은강안병원,부산광역시 수영구 수영로 493 (남천동),051-625-0900,051-625-0119,35.1501725109377,129.11060070761,수영구,지역응급의료기관,종합병원,570,True,True
ER025,부산성모병원(재단법인 천주교부산교구유지재단),부산광역시 남구 용호로232번길 25-14 (용호동),051-933-7114,051-933-0119,35.1104304758625,129.109212611331,남구,지역응급의료기관,종합병원,415,True,True
ER026,인제대학교 해운대백병원,부산광역시 해운대구 해운대로 875 (좌동),051-797-0100,051-797-0119,35.1732594832579,129.182163894191,해운대구,지역응급의료기관,종합병원,866,True,True
ER027,의료법인 온그룹의료재단 온병원,부산 부산진구 가야대로 721,051-607-0133,051-607-0119,35.157851035600174,129.05004180402622,부산진구,지역응급의료기관,종합병원,700,True,True
ER028,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길 40,051-720-5114,051-720-0119,35.3218426986741,129.2443306989,미상,지역응급의료기관,종합병원,251,True,False
ER029,의료법인 인당의료재단 해운대부민병원,부산광역시 해운대구 해운대로 584 (우동),051-602-8000,051-602-0119,35.1614207972833,129.155654464501,해운대구,지역응급의료기관,종합병원,383,True,False
ER030,동래안락병원,부산광역시 동래구 안연로109번길 27,051-520-5500,051-520-0119,35.1969275901618,129.096107169399,동래구,지역응급의료기관,종합병원,300,True,False
ER031,좋은삼선병원,부산광역시 부산진구 가야대로 719,051-638-8000,051-638-0119,35.1576767929921,129.050060583921,부산진구,지역응급의료기관,종합병원,400,True,True
ER033,온종합병원,부산광역시 수영구 수영로 615,051-756-0081,051-756-0119,35.1610469496207,129.112881923838,수영구,지역응급의료센터,종합병원,500,True,True
ER034,좋은강안병원,부산광역시 수영구 수영로679번길 8,051-750-5000,051-750-0119,35.1668299224046,129.114419455494,수영구,지역응급의료기관,종합병원,380,True,False
ER035,침례병원,부산광역시 남구 수영로 100,051-664-8000,051-664-0119,35.1378939446217,129.091469738009,남구,지역응급의료기관,종합병원,420,True,True
ER036,메리놀병원,부산광역시 중구 중앙대로 121,051-461-2000,051-461-0119,35.1042226426234,129.031090792173,중구,지역응급의료기관,종합병원,360,True,False
ER037,성분도병원,부산광역시 동구 범일로 114,051-632-8800,051-632-0119,35.140117846629,129.059660640078,동구,지역응급의료기관,종합병원,290,True,False
ER038,좌천병원,부산광역시 동구 정공단로 27,051-636-7700,051-636-0119,35.1357753221213,129.054416899466,동구,응급의료기관 외,병원,200,True,False
ER039,봉생병원,부산광역시 동구 중앙대로 401,051-664-4000,051-664-0119,35.1308736761734,129.050556556591,동구,지역응급의료기관,종합병원,380,True,False
ER040,세일병원,부산광역시 동구 중앙대로 317,051-464-8110,051-464-0119,35.12484974329,129.044594323931,동구,응급의료기관 외,병원,180,False,False
ER041,부산서병원,부산광역시 서구 구덕로 179,051-240-5000,051-240-0119,35.1011288801696,129.019244318359,서구,지역응급의료기관,종합병원,310,True,False
ER042,화명병원,부산광역시 북구 화명대로 59,051-330-3000,051-330-0119,35.2357636793361,129.013861621487,북구,지역응급의료기관,종합병원,450,True,True
ER043,세웅병원,부산 금정구 서동로 162,051-500-9700,051-500-0119,35.21438550911827,129.10405981497846,금정구,응급의료기관 외,병원,220,True,False
ER044,재송병원,부산광역시 해운대구 해운대로 135,051-709-3000,051-709-0119,35.1851923762961,129.121465542051,해운대구,응급의료기관 외,병원,190,False,False
ER045,천안병원,부산광역시 수영구 수영로 493,051-625-0900,051-625-0119,35.1501725109377,129.11060070761,수영구,지역응급의료기관,종합병원,360,True,False
ER046,안락병원,부산광역시 동래구 충렬대로 96,051-503-2111,051-503-0119,35.2069683553419,129.071145271145,동래구,지역응급의료기관,종합병원,280,True,False
