id,name,address,phone,emergency_phone,latitude,longitude,district,emergency_level,hospital_type,beds_total,has_ct,has_mri
ER029,의료법인 인당의료재단 해운대부민병원,부산광역시 해운대구 해운대로 584 (우동),051-602-8000,051-602-0119,35.16142041,129.1556561,해운대구,지역응급의료기관,종합병원,383,True,False
ER030,동래안락병원,부산광역시 동래구 안연로109번길 27,051-520-5500,051-520-0119,35.2049,129.0832,동래구,지역응급의료기관,종합병원,300,True,False
ER031,좋은삼선병원,부산광역시 부산진구 가야대로 719,051-638-8000,051-638-0119,35.1623,129.0538,부산진구,지역응급의료기관,종합병원,400,True,True
ER032,양정병원,부산광역시 부산진구 양정로 62,051-867-5101,051-867-0119,35.1654,129.0597,부산진구,지역응급의료기관,종합병원,350,True,False
ER033,온종합병원,부산광역시 수영구 수영로 615,051-756-0081,051-756-0119,35.1453,129.1136,수영구,지역응급의료센터,종합병원,500,True,True
ER034,좋은강안병원,부산광역시 수영구 수영로679번길 8,051-750-5000,051-750-0119,35.148,129.1145,수영구,지역응급의료기관,종합병원,380,True,False
ER035,침례병원,부산광역시 남구 수영로 100,051-664-8000,051-664-0119,35.14,129.089,남구,지역응급의료기관,종합병원,420,True,True
ER036,메리놀병원,부산광역시 중구 중앙대로 121,051-461-2000,051-461-0119,35.1067,129.0324,중구,지역응급의료기관,종합병원,360,True,False
ER037,성분도병원,부산광역시 동구 범일로 114,051-632-8800,051-632-0119,35.1367,129.0567,동구,지역응급의료기관,종합병원,290,True,False
ER038,좌천병원,부산광역시 동구 정공단로 27,051-636-7700,051-636-0119,35.1283,129.0478,동구,응급의료기관 외,병원,200,True,False
ER039,봉생병원,부산광역시 동구 중앙대로 401,051-664-4000,051-664-0119,35.135,129.052,동구,지역응급의료기관,종합병원,380,True,False
ER040,세일병원,부산광역시 동구 중앙대로 317,051-464-8110,051-464-0119,35.118,129.041,동구,응급의료기관 외,병원,180,False,False
ER041,부산서병원,부산광역시 서구 구덕로 179,051-240-5000,051-240-0119,35.0972,129.0244,서구,지역응급의료기관,종합병원,310,True,False
ER042,화명병원,부산광역시 북구 화명대로 59,051-330-3000,051-330-0119,35.2097,128.9898,북구,지역응급의료기관,종합병원,450,True,True
ER043,금강병원,부산광역시 금정구 서동로 162,051-500-9700,051-500-0119,35.238,129.091,금정구,응급의료기관 외,병원,220,True,False
ER044,재송병원,부산광역시 해운대구 해운대로 135,051-709-3000,051-709-0119,35.182,129.115,해운대구,응급의료기관 외,병원,190,False,False
ER045,천안병원,부산광역시 수영구 수영로 493,051-625-0900,051-625-0119,35.151,129.108,수영구,지역응급의료기관,종합병원,360,True,False
ER046,안락병원,부산광역시 동래구 충렬대로 96,051-503-2111,051-503-0119,35.2,129.08,동래구,지역응급의료기관,종합병원,280,True,False
